Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,6,1,1,Import,8,Albania,ALB,0,World,WLD,,,,,,,,870321,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity not over 1000cc",5,Number of items,1281,,,,1275703,,2357627,,,0
H5,2017,2017,2017,6,1,1,Import,12,Algeria,DZA,0,World,WLD,,,,,,,,870321,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity not over 1000cc",5,Number of items,2385,,,,1248663,,21099974,,,2
H5,2017,2017,2017,6,1,1,Import,20,Andorra,AND,0,World,WLD,,,,,,,,870321,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity not over 1000cc",5,Number of items,266,,,,204113,,2643606,,,2
H5,2017,2017,2017,6,1,1,Import,36,Australia,AUS,0,World,WLD,,,,,,,,870321,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity not over 1000cc",5,Number of items,36262,,,,17940329,,169244628,,,4
H5,2017,2017,2017,6,1,1,Import,40,Austria,AUT,0,World,WLD,,,,,,,,870321,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity not over 1000cc",5,Number of items,59495,,,,52824321,,589847488,,,2
H5,2017,2017,2017,6,1,1,Import,48,Bahrain,BHR,0,World,WLD,,,,,,,,870321,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity not over 1000cc",5,Number of items,344,,,,488510,,6017477,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,870321,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity not over 1000cc",5,Number of items,109,,,,25401,,353943,,,0
H5,2017,2017,2017,6,1,1,Import,56,Belgium,BEL,0,World,WLD,,,,,,,,870321,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity not over 1000cc",5,Number of items,262709,,,,185987323,,2604542457,,,6
H5,2017,2017,2017,6,1,1,Import,60,Bermuda,BMU,0,World,WLD,,,,,,,,870321,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity not over 1000cc",5,Number of items,232,,,,261462,,2466572,,,4
H5,2017,2017,2017,6,1,1,Import,68,Bolivia (Plurinational State of),BOL,0,World,WLD,,,,,,,,870321,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity not over 1000cc",5,Number of items,5236,,,,3542268,,25276082,,,0
H5,2017,2017,2017,6,1,1,Import,70,Bosnia Herzegovina,BIH,0,World,WLD,,,,,,,,870321,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity not over 1000cc",5,Number of items,1035,,,,1830251,,10261379,,,2
H5,2017,2017,2017,6,1,1,Import,76,Brazil,BRA,0,World,WLD,,,,,,,,870321,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity not over 1000cc",5,Number of items,7896,,,,5585930,,69864559,,,0
H5,2017,2017,2017,6,1,1,Import,96,Brunei Darussalam,BRN,0,World,WLD,,,,,,,,870321,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity not over 1000cc",5,Number of items,877,,,,822732,,7761455,,,6
H5,2017,2017,2017,6,1,1,Import,100,Bulgaria,BGR,0,World,WLD,,,,,,,,870321,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity not over 1000cc",5,Number of items,6849,,,,6805884,,51661514,,,0
H5,2017,2017,2017,6,1,1,Import,104,Myanmar,MMR,0,World,WLD,,,,,,,,870321,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity not over 1000cc",5,Number of items,826,,,,484718,,4572710,,,4
H5,2017,2017,2017,6,1,1,Import,112,Belarus,BLR,0,World,WLD,,,,,,,,870321,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity not over 1000cc",5,Number of items,803,,,,152738,,2087200,,,0
